actor_id,film_id,last_update
1,1,15-02-2006
1,23,15-02-2006
1,25,15-02-2006
1,106,15-02-2006
1,140,15-02-2006
1,166,15-02-2006
1,277,15-02-2006
1,361,15-02-2006
1,438,15-02-2006
1,499,15-02-2006
1,506,15-02-2006
1,509,15-02-2006
1,605,15-02-2006
1,635,15-02-2006
1,749,15-02-2006
1,832,15-02-2006
1,939,15-02-2006
1,970,15-02-2006
1,980,15-02-2006
2,3,15-02-2006
2,31,15-02-2006
2,47,15-02-2006
2,105,15-02-2006
2,132,15-02-2006
2,145,15-02-2006
2,226,15-02-2006
2,249,15-02-2006
2,314,15-02-2006
2,321,15-02-2006
2,357,15-02-2006
2,369,15-02-2006
2,399,15-02-2006
2,458,15-02-2006
2,481,15-02-2006
2,485,15-02-2006
2,518,15-02-2006
2,540,15-02-2006
2,550,15-02-2006
2,555,15-02-2006
2,561,15-02-2006
2,742,15-02-2006
2,754,15-02-2006
2,811,15-02-2006
2,958,15-02-2006
3,17,15-02-2006
3,40,15-02-2006
3,42,15-02-2006
3,87,15-02-2006
3,111,15-02-2006
3,185,15-02-2006
3,289,15-02-2006
3,329,15-02-2006
3,336,15-02-2006
3,341,15-02-2006
3,393,15-02-2006
3,441,15-02-2006
3,453,15-02-2006
3,480,15-02-2006
3,539,15-02-2006
3,618,15-02-2006
3,685,15-02-2006
3,827,15-02-2006
3,966,15-02-2006
3,967,15-02-2006
3,971,15-02-2006
3,996,15-02-2006
4,23,15-02-2006
4,25,15-02-2006
4,56,15-02-2006
4,62,15-02-2006
4,79,15-02-2006
4,87,15-02-2006
4,355,15-02-2006
4,379,15-02-2006
4,398,15-02-2006
4,463,15-02-2006
4,490,15-02-2006
4,616,15-02-2006
4,635,15-02-2006
4,691,15-02-2006
4,712,15-02-2006
4,714,15-02-2006
4,721,15-02-2006
4,798,15-02-2006
4,832,15-02-2006
4,858,15-02-2006
4,909,15-02-2006
4,924,15-02-2006
5,19,15-02-2006
5,54,15-02-2006
5,85,15-02-2006
5,146,15-02-2006
5,171,15-02-2006
5,172,15-02-2006
5,202,15-02-2006
5,203,15-02-2006
5,286,15-02-2006
5,288,15-02-2006
5,316,15-02-2006
5,340,15-02-2006
5,369,15-02-2006
5,375,15-02-2006
5,383,15-02-2006
5,392,15-02-2006
5,411,15-02-2006
5,503,15-02-2006
5,535,15-02-2006
5,571,15-02-2006
5,650,15-02-2006
5,665,15-02-2006
5,687,15-02-2006
5,730,15-02-2006
5,732,15-02-2006
5,811,15-02-2006
5,817,15-02-2006
5,841,15-02-2006
5,865,15-02-2006
6,29,15-02-2006
6,53,15-02-2006
6,60,15-02-2006
6,70,15-02-2006
6,112,15-02-2006
6,164,15-02-2006
6,165,15-02-2006
6,193,15-02-2006
6,256,15-02-2006
6,451,15-02-2006
6,503,15-02-2006
6,509,15-02-2006
6,517,15-02-2006
6,519,15-02-2006
6,605,15-02-2006
6,692,15-02-2006
6,826,15-02-2006
6,892,15-02-2006
6,902,15-02-2006
6,994,15-02-2006
7,25,15-02-2006
7,27,15-02-2006
7,35,15-02-2006
7,67,15-02-2006
7,96,15-02-2006
7,170,15-02-2006
7,173,15-02-2006
7,217,15-02-2006
7,218,15-02-2006
7,225,15-02-2006
7,292,15-02-2006
7,351,15-02-2006
7,414,15-02-2006
7,463,15-02-2006
7,554,15-02-2006
7,618,15-02-2006
7,633,15-02-2006
7,637,15-02-2006
7,691,15-02-2006
7,758,15-02-2006
7,766,15-02-2006
7,770,15-02-2006
7,805,15-02-2006
7,806,15-02-2006
7,846,15-02-2006
7,900,15-02-2006
7,901,15-02-2006
7,910,15-02-2006
7,957,15-02-2006
7,959,15-02-2006
8,47,15-02-2006
8,115,15-02-2006
8,158,15-02-2006
8,179,15-02-2006
8,195,15-02-2006
8,205,15-02-2006
8,255,15-02-2006
8,263,15-02-2006
8,321,15-02-2006
8,396,15-02-2006
8,458,15-02-2006
8,523,15-02-2006
8,532,15-02-2006
8,554,15-02-2006
8,752,15-02-2006
8,769,15-02-2006
8,771,15-02-2006
8,859,15-02-2006
8,895,15-02-2006
8,936,15-02-2006
9,30,15-02-2006
9,74,15-02-2006
9,147,15-02-2006
9,148,15-02-2006
9,191,15-02-2006
9,200,15-02-2006
9,204,15-02-2006
9,434,15-02-2006
9,510,15-02-2006
9,514,15-02-2006
9,552,15-02-2006
9,650,15-02-2006
9,671,15-02-2006
9,697,15-02-2006
9,722,15-02-2006
9,752,15-02-2006
9,811,15-02-2006
9,815,15-02-2006
9,865,15-02-2006
9,873,15-02-2006
9,889,15-02-2006
9,903,15-02-2006
9,926,15-02-2006
9,964,15-02-2006
9,974,15-02-2006
10,1,15-02-2006
10,9,15-02-2006
10,191,15-02-2006
10,236,15-02-2006
10,251,15-02-2006
10,366,15-02-2006
10,477,15-02-2006
10,480,15-02-2006
10,522,15-02-2006
10,530,15-02-2006
10,587,15-02-2006
10,694,15-02-2006
10,703,15-02-2006
10,716,15-02-2006
10,782,15-02-2006
10,914,15-02-2006
10,929,15-02-2006
10,930,15-02-2006
10,964,15-02-2006
10,966,15-02-2006
10,980,15-02-2006
10,983,15-02-2006
11,118,15-02-2006
11,205,15-02-2006
11,281,15-02-2006
11,283,15-02-2006
11,348,15-02-2006
11,364,15-02-2006
11,395,15-02-2006
11,429,15-02-2006
11,433,15-02-2006
11,453,15-02-2006
11,485,15-02-2006
11,532,15-02-2006
11,567,15-02-2006
11,587,15-02-2006
11,597,15-02-2006
11,636,15-02-2006
11,709,15-02-2006
11,850,15-02-2006
11,854,15-02-2006
11,888,15-02-2006
11,896,15-02-2006
11,928,15-02-2006
11,938,15-02-2006
11,969,15-02-2006
11,988,15-02-2006
12,16,15-02-2006
12,17,15-02-2006
12,34,15-02-2006
12,37,15-02-2006
12,91,15-02-2006
12,92,15-02-2006
12,107,15-02-2006
12,155,15-02-2006
12,177,15-02-2006
12,208,15-02-2006
12,213,15-02-2006
12,216,15-02-2006
12,243,15-02-2006
12,344,15-02-2006
12,400,15-02-2006
12,416,15-02-2006
12,420,15-02-2006
12,457,15-02-2006
12,513,15-02-2006
12,540,15-02-2006
12,593,15-02-2006
12,631,15-02-2006
12,635,15-02-2006
12,672,15-02-2006
12,716,15-02-2006
12,728,15-02-2006
12,812,15-02-2006
12,838,15-02-2006
12,871,15-02-2006
12,880,15-02-2006
12,945,15-02-2006
13,17,15-02-2006
13,29,15-02-2006
13,45,15-02-2006
13,87,15-02-2006
13,110,15-02-2006
13,144,15-02-2006
13,154,15-02-2006
13,162,15-02-2006
13,203,15-02-2006
13,254,15-02-2006
13,337,15-02-2006
13,346,15-02-2006
13,381,15-02-2006
13,385,15-02-2006
13,427,15-02-2006
13,456,15-02-2006
13,513,15-02-2006
13,515,15-02-2006
13,522,15-02-2006
13,524,15-02-2006
13,528,15-02-2006
13,571,15-02-2006
13,588,15-02-2006
13,597,15-02-2006
13,600,15-02-2006
13,718,15-02-2006
13,729,15-02-2006
13,816,15-02-2006
13,817,15-02-2006
13,832,15-02-2006
13,833,15-02-2006
13,843,15-02-2006
13,897,15-02-2006
13,966,15-02-2006
13,998,15-02-2006
14,154,15-02-2006
14,187,15-02-2006
14,232,15-02-2006
14,241,15-02-2006
14,253,15-02-2006
14,255,15-02-2006
14,258,15-02-2006
14,284,15-02-2006
14,292,15-02-2006
14,370,15-02-2006
14,415,15-02-2006
14,417,15-02-2006
14,418,15-02-2006
14,454,15-02-2006
14,472,15-02-2006
14,475,15-02-2006
14,495,15-02-2006
14,536,15-02-2006
14,537,15-02-2006
14,612,15-02-2006
14,688,15-02-2006
14,759,15-02-2006
14,764,15-02-2006
14,847,15-02-2006
14,856,15-02-2006
14,890,15-02-2006
14,908,15-02-2006
14,919,15-02-2006
14,948,15-02-2006
14,970,15-02-2006
15,31,15-02-2006
15,89,15-02-2006
15,91,15-02-2006
15,108,15-02-2006
15,125,15-02-2006
15,236,15-02-2006
