inventory_id,film_id,store_id,last_update
1,1,1,15-02-2006
2,1,1,15-02-2006
3,1,1,15-02-2006
4,1,1,15-02-2006
5,1,2,15-02-2006
6,1,2,15-02-2006
7,1,2,15-02-2006
8,1,2,15-02-2006
9,2,2,15-02-2006
10,2,2,15-02-2006
11,2,2,15-02-2006
12,3,2,15-02-2006
13,3,2,15-02-2006
14,3,2,15-02-2006
15,3,2,15-02-2006
16,4,1,15-02-2006
17,4,1,15-02-2006
18,4,1,15-02-2006
19,4,1,15-02-2006
20,4,2,15-02-2006
21,4,2,15-02-2006
22,4,2,15-02-2006
23,5,2,15-02-2006
24,5,2,15-02-2006
25,5,2,15-02-2006
26,6,1,15-02-2006
27,6,1,15-02-2006
28,6,1,15-02-2006
29,6,2,15-02-2006
30,6,2,15-02-2006
31,6,2,15-02-2006
32,7,1,15-02-2006
33,7,1,15-02-2006
34,7,2,15-02-2006
35,7,2,15-02-2006
36,7,2,15-02-2006
37,8,2,15-02-2006
38,8,2,15-02-2006
39,8,2,15-02-2006
40,8,2,15-02-2006
41,9,1,15-02-2006
42,9,1,15-02-2006
43,9,1,15-02-2006
44,9,2,15-02-2006
45,9,2,15-02-2006
46,10,1,15-02-2006
47,10,1,15-02-2006
48,10,1,15-02-2006
49,10,1,15-02-2006
50,10,2,15-02-2006
51,10,2,15-02-2006
52,10,2,15-02-2006
53,11,1,15-02-2006
54,11,1,15-02-2006
55,11,1,15-02-2006
56,11,1,15-02-2006
57,11,2,15-02-2006
58,11,2,15-02-2006
59,11,2,15-02-2006
60,12,1,15-02-2006
61,12,1,15-02-2006
62,12,1,15-02-2006
63,12,2,15-02-2006
64,12,2,15-02-2006
65,12,2,15-02-2006
66,12,2,15-02-2006
67,13,2,15-02-2006
68,13,2,15-02-2006
69,13,2,15-02-2006
70,13,2,15-02-2006
71,15,1,15-02-2006
72,15,1,15-02-2006
73,15,2,15-02-2006
74,15,2,15-02-2006
75,15,2,15-02-2006
76,15,2,15-02-2006
77,16,1,15-02-2006
78,16,1,15-02-2006
79,16,2,15-02-2006
80,16,2,15-02-2006
81,17,1,15-02-2006
82,17,1,15-02-2006
83,17,1,15-02-2006
84,17,2,15-02-2006
85,17,2,15-02-2006
86,17,2,15-02-2006
87,18,1,15-02-2006
88,18,1,15-02-2006
89,18,1,15-02-2006
90,18,2,15-02-2006
91,18,2,15-02-2006
92,18,2,15-02-2006
93,19,1,15-02-2006
94,19,1,15-02-2006
95,19,1,15-02-2006
96,19,1,15-02-2006
