movie_key,film_id,title,description,release_year,language,rental_duration,length,rating,special_features,active,CREATED_DT,LAST_UPDT_DT
1000,1,Academy Dinosaur,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,English             ,6,86,PG,"{""Deleted Scenes"",""Behind the Scenes""}",Y,29-01-2024,NULL
1001,2,Ace Goldfinger,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,English             ,3,48,G,"{Trailers,""Deleted Scenes""}",Y,29-01-2024,NULL
1002,3,Adaptation Holes,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,English             ,7,50,NC-17,"{Trailers,""Deleted Scenes""}",Y,29-01-2024,NULL
1003,4,Affair Prejudice,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,English             ,5,117,G,"{Commentaries,""Behind the Scenes""}",Y,29-01-2024,NULL
1004,5,African Egg,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2006,English             ,6,130,G,"{""Deleted Scenes""}",Y,29-01-2024,NULL
1005,6,Agent Truman,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2006,English             ,3,169,PG,"{""Deleted Scenes""}",Y,29-01-2024,NULL
1006,7,Airplane Sierra,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,2006,English             ,6,62,PG-13,"{Trailers,""Deleted Scenes""}",Y,29-01-2024,NULL
1007,8,Airport Pollock,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006,English             ,6,54,R,{Trailers},Y,29-01-2024,NULL
1008,9,Alabama Devil,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006,English             ,3,114,PG-13,"{Trailers,""Deleted Scenes""}",Y,29-01-2024,NULL
1009,10,Aladdin Calendar,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006,English             ,6,63,NC-17,"{Trailers,""Deleted Scenes""}",Y,29-01-2024,NULL
1010,11,Alamo Videotape,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,2006,English             ,6,126,G,"{Commentaries,""Behind the Scenes""}",Y,29-01-2024,NULL
1011,12,Alaska Phantom,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,2006,English             ,6,136,PG,"{Commentaries,""Deleted Scenes""}",Y,29-01-2024,NULL
1012,13,Ali Forever,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,2006,English             ,4,150,PG,"{""Deleted Scenes"",""Behind the Scenes""}",Y,29-01-2024,NULL
1013,14,Alice Fantasia,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,2006,English             ,6,94,NC-17,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",Y,29-01-2024,NULL
1014,15,Alien Center,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2006,English             ,5,46,NC-17,"{Trailers,Commentaries,""Behind the Scenes""}",Y,29-01-2024,NULL
1015,16,Alley Evolution,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,2006,English             ,6,180,NC-17,"{Trailers,Commentaries}",Y,29-01-2024,NULL
1016,17,Alone Trip,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,2006,English             ,3,82,R,"{Trailers,""Behind the Scenes""}",Y,29-01-2024,NULL
1017,18,Alter Victory,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,2006,English             ,6,57,PG-13,"{Trailers,""Behind the Scenes""}",Y,29-01-2024,NULL
1018,19,Amadeus Holy,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,2006,English             ,6,113,PG,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Y,29-01-2024,NULL
1019,20,Amelie Hellfighters,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,2006,English             ,4,79,R,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Y,29-01-2024,NULL
1020,21,American Circus,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,2006,English             ,3,129,R,"{Commentaries,""Behind the Scenes""}",Y,29-01-2024,NULL
1021,22,Amistad Midsummer,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,2006,English             ,6,85,G,"{Commentaries,""Behind the Scenes""}",Y,29-01-2024,NULL
1022,23,Anaconda Confessions,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,2006,English             ,3,92,R,"{Trailers,""Deleted Scenes""}",Y,29-01-2024,NULL
1023,24,Analyze Hoosiers,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,2006,English             ,6,181,R,"{Trailers,""Behind the Scenes""}",Y,29-01-2024,NULL
1024,25,Angels Life,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,2006,English             ,3,74,G,{Trailers},Y,29-01-2024,NULL
1025,26,Annie Identity,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,2006,English             ,3,86,G,"{Commentaries,""Deleted Scenes""}",Y,29-01-2024,NULL
1026,27,Anonymous Human,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,2006,English             ,7,179,NC-17,"{""Deleted Scenes"",""Behind the Scenes""}",Y,29-01-2024,NULL
1027,28,Anthem Luke,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,2006,English             ,5,91,PG-13,"{""Deleted Scenes"",""Behind the Scenes""}",Y,29-01-2024,NULL
1028,29,Antitrust Tomatoes,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,2006,English             ,5,168,NC-17,"{Trailers,Commentaries,""Deleted Scenes""}",Y,29-01-2024,NULL
1029,30,Anything Savannah,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,2006,English             ,4,82,R,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",Y,29-01-2024,NULL
1030,31,Apache Divine,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,2006,English             ,5,92,NC-17,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Y,29-01-2024,NULL
1031,32,Apocalypse Flamingos,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,2006,English             ,6,119,R,"{Trailers,Commentaries}",Y,29-01-2024,NULL
1032,33,Apollo Teen,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,2006,English             ,5,153,PG-13,"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Y,29-01-2024,NULL
1033,34,Arabia Dogma,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,2006,English             ,6,62,NC-17,"{Commentaries,""Deleted Scenes""}",Y,29-01-2024,NULL
1034,35,Arachnophobia Rollercoaster,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,2006,English             ,4,147,PG-13,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",Y,29-01-2024,NULL
1035,36,Argonauts Town,A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft,2006,English             ,7,127,PG-13,"{Trailers,Commentaries}",Y,29-01-2024,NULL
1036,37,Arizona Bang,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,2006,English             ,3,121,PG,"{Trailers,""Deleted Scenes""}",Y,29-01-2024,NULL
1037,38,Ark Ridgemont,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,2006,English             ,6,68,NC-17,"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Y,29-01-2024,NULL
1038,39,Armageddon Lost,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,2006,English             ,5,99,G,{Trailers},Y,29-01-2024,NULL
1039,40,Army Flintstones,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,2006,English             ,4,148,R,"{Trailers,Commentaries}",Y,29-01-2024,NULL
1040,41,Arsenic Independence,A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin,2006,English             ,4,137,PG,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",Y,29-01-2024,NULL
